"Name","Tags","epoch","test_mae","test_r","train_mae","train_r","val_mae","val_r"
"vgg19-seed4","vgg19","46","0.5582213975900522","0.6792124509811401","0.12108771736081132","0.9878532886505128","0.5517043594777937","0.7073213458061218"
"vgg19-seed3","vgg19","46","0.5403171917595015","0.6963038444519043","0.11956201059866452","0.987985134124756","0.548474527322329","0.7107824087142944"
"vgg19-seed2","vgg19","46","0.5408563130289499","0.6941897869110107","0.11933572573620758","0.9878723621368408","0.5499433550608934","0.7152565717697144"
"vgg19-seed1","vgg19","46","0.5508024683393584","0.688406229019165","0.11751351571881664","0.9883763194084167","0.5568103069031732","0.7063717842102051"
"vgg19-seed0","vgg19","46","0.5346435080825186","0.7017649412155151","0.12015866356048575","0.9877445697784424","0.5523693349939831","0.7128622531890869"
"vgg16-seed4","vgg16","46","0.5425471339854726","0.6906746625900269","0.1169805690021572","0.9884248971939088","0.5454729312270351","0.7137829661369324"
"vgg16-seed3","vgg16","46","0.538724257536461","0.6965042948722839","0.1180319666394038","0.9882763624191284","0.5499481472390644","0.7152690887451172"
"vgg16-seed2","vgg16","46","0.5427770805687993","0.689541220664978","0.11619017165555746","0.9885909557342528","0.5524998316045343","0.7127877473831177"
"vgg16-seed1","vgg16","46","0.549878124627599","0.6844474077224731","0.11979370263076114","0.988040328025818","0.5554337755462827","0.7085728645324707"
"vgg16-seed0","vgg16","46","0.5451934085301826","0.6894615888595581","0.1171211201340674","0.9883431196212769","0.5593587599209779","0.6980387568473816"
"vgg13-seed4","vgg13","46","0.5557831090652138","0.6874445676803589","0.11617295181345262","0.9887351989746094","0.558198279530339","0.7043607234954834"
"vgg13-seed3","vgg13","46","0.5544542134539482","0.6807548999786377","0.1171037159960516","0.9884368181228638","0.5564052330318993","0.706344723701477"
"vgg13-seed2","vgg13","46","0.5569386375279515","0.6816773414611816","0.11591812594609704","0.9885598421096802","0.5705378009722784","0.6904881596565247"
"vgg13-seed1","vgg13","46","0.5551428056202052","0.6836378574371338","0.117620101455086","0.9883607625961304","0.5643925998337875","0.6971055269241333"
"vgg13-seed0","vgg13","46","0.5535677401748903","0.686871349811554","0.11748176456769248","0.9884629249572754","0.5594869097309","0.7013367414474487"
"vgg11-seed4","vgg11","46","0.5685142538298859","0.6669677495956421","0.11996946820130426","0.9880390763282776","0.567270528194467","0.6953213214874268"
"vgg11-seed3","vgg11","46","0.5722902551567628","0.6680268049240112","0.12071045121166878","0.987663507461548","0.56240008304105","0.6902417540550232"
"vgg11-seed2","vgg11","46","0.5709558105541884","0.6666747331619263","0.1210022219596152","0.9877747297286988","0.5719537366424087","0.6833630800247192"
"vgg11-seed1","vgg11","46","0.5492684267049918","0.6914911866188049","0.11921874534137948","0.9879915714263916","0.557863926570091","0.6989138126373291"
"vgg11-seed0","vgg11","46","0.5491817674936692","0.6929729580879211","0.11836821800042056","0.9883402585983276","0.5641522138605456","0.6923092603683472"
